Brand,Item,L,W,H,FinalRate,ECPLRate
Parx,SIDE PORTAL,18,450,1800,2340,2160
Parx,SIDE PORTAL,18,450,2100,2340,2520
Parx,SIDE PORTAL,18,450,2400,2340,2880
Parx,SIDE PORTAL,18,450,2700,2750,3240
Parx,SIDE PORTAL,75,450,1800,6500,6300
Parx,SIDE PORTAL,75,450,2100,6500,7350
Parx,SIDE PORTAL,75,450,2400,6500,8400
Parx,SIDE PORTAL,75,450,2700,7680,9450
Parx,SIDE PORTAL,100,450,1800,6500,6676
Parx,SIDE PORTAL,100,450,2100,6500,7770
Parx,SIDE PORTAL,100,450,2400,6500,8880
Parx,SIDE PORTAL,100,450,2700,7000,9990
Parx,SIDE PORTAL,150,450,1800,6800,6840
Parx,SIDE PORTAL,150,450,2100,6800,7980
Parx,SIDE PORTAL,150,450,2400,6800,9120
Parx,SIDE PORTAL,150,450,2700,7500,10530
Parx,SIDE PORTAL,200,450,1800,7500,7200
Parx,SIDE PORTAL,200,450,2100,7500,8400
Parx,SIDE PORTAL,200,450,2400,7500,9600
Parx,SIDE PORTAL,200,450,2700,8000,9600
Parx,SIDE PORTAL,50,450,1800,2400,4000
Parx,SIDE PORTAL,50,450,2100,2400,4000
Parx,SIDE PORTAL,50,450,2400,2800,4000
Parx,SIDE PORTAL,50,450,2700,2800,4000
Parx,BACK PANEL,600,18,1800,3130,3240
Parx,BACK PANEL,600,18,2100,3130,3780
Parx,BACK PANEL,600,18,2400,3130,4320
Parx,BACK PANEL,600,18,2700,3680,4860
Parx,SHELVE,600,430,18,750,950
Parx,SHELVE,500,430,18,700,800
Parx,DRAWER,600,430,325,4500,6489
Parx,DRAWER,500,430,325,4500,5295
Parx,HEADER,1219,450,300,6500,8010
Parx,HEADER,1396,450,300,7500,12275
Parx,HEADER,1800,450,300,9500,14508
Parx,HEADER,2100,450,300,12100,22470
Parx,HEADER,2400,450,300,13500,25680
Parx,HEADER,3000,450,300,17500,3210
Parx,HEADER,4000,450,300,22500,40280
Parx,HEADER,4500,450,300,25500,45315
Parx,HEADER,5000,450,300,28500,50350
Parx,HEADER,5000,450,300,31500,55385
